名称,价格,店铺评分,商品评价,服务态度,物流速度,品牌,商品毛重,企口类型,底板厚度,类别,店铺,晒图,好评,中评,差评
贝尔地板 圆盘豆纯实木地板非洲进口原木天然环保标板18mm 鎏金岁月 深色款,269.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.0kg,平口,18mm,实木地板,贝尔德豪专卖店,0,0,0,0
贝尔地板番龙眼纯实木地板开罗往事18mm 深色,205.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,2.0kg,平口,18mm,实木地板,贝尔德豪专卖店,0,1,0,0
贝尔地板强化复合木地板大亚基材手抓纹A1  12mm 浅色,86.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.2kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,2,0,0
贝尔地板强化复合木地板仿实木地板玲珑白栓木12mm,76.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,0,0,0
贝尔地板强化复合木地板仿实木地板诺丁山夏栎8mm 灰色款,53.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,V型槽,8mm,强化复合地板,贝尔地板旗舰店,4,10,0,2
贝尔地板强化复合木地板仿实木环保地板魔镜原木色12mm,138.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.1kg,R型槽,其他,强化复合地板,贝尔地板旗舰店,0,3,0,0
贝尔地板强化复合木地板家用环保仿实木胭脂金柚12mm 1平方,86.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板强化复合木地板米兰橡木12mm 深色,73.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,R型槽,12mm,强化复合地板,贝尔地板旗舰店,0,1,0,0
贝尔地板强化复合木地板小麻面仿实木地板棕榈小岛. 12mm,86.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,1.6kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板强化复合木地板小麻面仿实木地板棕榈小岛12mm,69.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,17,30,1,1
贝尔地板强化复合木地板原装出口英国仿实木地板爱丁堡12mm 1平方,88.00 ,9.54,9.54,9.59,9.59,贝尔（BeiEr）,2.4kg,V型槽,12mm,强化复合地板,淘云米家装专营店,0,0,0,0
贝尔地板强化复合木地板真木纹地板云端漫步12mm,73.00 ,9.67,9.63,9.66,9.64,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔地板旗舰店,3,4,0,0
贝尔强化复合木地板环保水晶面都市橡木12mm,69.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.6kg,V型槽,12mm,强化复合地板,贝尔德豪专卖店,0,0,0,0
贝尔强化复合木地板家用环保仿实木简约桦木8mm,53.00 ,9.73,9.65,9.76,9.73,贝尔（BBL）,1.6kg,V型槽,8mm,强化复合地板,贝尔德豪专卖店,0,2,0,0
倍康 个性黑白色拼接装饰强化复合防水木地板 12mm木纹 QH1009,82.00 ,9.85,9.78,9.8,9.82,倍康,25.0kg,其他,12mm,强化复合地板,倍康地板旗舰店,0,0,0,0
倍康 强化复合木地板  家用加厚耐磨 GC1608,78.00 ,9.85,9.78,9.8,9.82,倍康,30.0kg,其他,12mm,强化复合地板,倍康地板旗舰店,0,0,0,0
倍康地板  实木地板番龙眼 免龙骨地热木地板 SM080,378.00 ,9.85,9.78,9.8,9.82,倍康,25.0kg,单锁口,18mm,实木地板,倍康地板旗舰店,0,0,0,0
倍康地板  田园纯浅白色家装强化复合木地板 GC7001,78.00 ,9.85,9.78,9.8,9.82,倍康,25.0kg,其他,12mm,强化复合地板,倍康地板旗舰店,0,0,0,0
倍康地板 纯实木地板番龙眼平扣环保18mm   不能领取或使用优惠券 SM019,293.00 ,9.85,9.78,9.8,9.82,倍康,24.0kg,其他,18mm,实木地板,倍康地板旗舰店,0,30,0,0
倍康地板 纯实木地板红橡 家用实木地板 仿古防滑 SM067,446.00 ,9.85,9.78,9.8,9.82,倍康,30.0kg,其他,18mm,实木地板,倍康地板旗舰店,0,7,0,0
倍康地板 纯实木地板金刚柚木平面 自然环保简约 SM006 760*95*18,296.00 ,9.85,9.78,9.8,9.82,倍康,24.0kg,平口,18mm,实木地板,倍康地板旗舰店,14,100,0,0
倍康地板 纯实木地板金刚柚木自然环保仿古手抓纹  不能领取或使用优惠券 SM035,378.00 ,9.85,9.78,9.8,9.82,倍康,28.0kg,其他,18mm,实木地板,倍康地板旗舰店,0,0,0,0
倍康地板 纯实木地板橡木 仿古手抓纹 家用复古耐磨  不能领取或使用优惠券 SM033,328.00 ,9.85,9.78,9.8,9.82,倍康,30.0kg,其他,18mm,实木地板,倍康地板旗舰店,0,0,0,0
倍康地板 实木地板枫桦木 欧式简约大自然 SM5019 910*123*18,278.00 ,9.85,9.78,9.8,9.82,倍康,26.0kg,平口,18mm,实木地板,倍康地板旗舰店,3,1,0,0
倍康地板 实木地板橡木红日适合家用 健康环保 bk729 910*153*18,350.00 ,9.85,9.78,9.8,9.82,倍康,26.0kg,平口,其他,实木地板,倍康地板旗舰店,0,0,0,0
倍康地板 实木地板橡木英伦风尚木地板 bk732,290.00 ,9.85,9.78,9.8,9.82,倍康,26.0kg,平口,其他,实木地板,倍康地板旗舰店,0,0,0,0
倍康地板 实木地板橡木原木仿古手抓纹自然环保  不能领取或使用优惠券 SM001,328.00 ,9.85,9.78,9.8,9.82,倍康,26.0kg,平口,18mm,实木地板,倍康地板旗舰店,14,100,0,0
倍康地板 橡木纯实木地板18mm脚感舒适 bk735 910*155*18,380.00 ,9.85,9.78,9.8,9.82,倍康,26.0kg,平口,其他,实木地板,倍康地板旗舰店,0,0,0,0
倍康地板 橡木地板大厂直销自然环保 米兰奇境 bk734 810*125*18,320.00 ,9.85,9.78,9.8,9.82,倍康,26.0kg,平口,其他,实木地板,倍康地板旗舰店,0,0,0,0
倍康地板 圆盘豆纯实木地板绿柄桑室内木地板 sm801 910*123*18,265.00 ,9.85,9.78,9.8,9.82,倍康,26.0kg,平口,18mm,实木地板,倍康地板旗舰店,0,0,0,0
倍肯 美国宾州红橡纯实木地板 A级橡木木地板大自然野生原木地板 8065(510-560-610*125*18),206.00 ,9.45,9.92,9.38,9.77,倍肯地板（BEIKEN FLOORING）,25.0kg,平口,18mm,实木地板,倍肯地板官方旗舰店,0,0,0,0
倍肯纯实木多层复合木地板拉丝仿古灰色白色厂家直销地热地暖橡木 橡木拉丝8312小板,168.00 ,9.45,9.92,9.38,9.77,倍肯地板（BEIKEN FLOORING）,20.0kg,平口,15mm,实木复合地板,倍肯地板官方旗舰店,0,7,0,0
倍肯纯实木原木地板18mm厂家直销仿古天然环保送货橡木本色 雅典古城81102(910*125*18mm),308.00 ,9.45,9.92,9.38,9.77,倍肯地板（BEIKEN FLOORING）,25.0kg,平口,18mm,实木地板,倍肯地板官方旗舰店,0,0,0,0
博典  白腊木实木复合木地板 多层地暖地板 DBE2128-1 白腊木 910*127*15,179.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,0,0,0,0
博典  实木复合地板 榆木仿古浮雕多层复合木地板 地热地板  JGFD203 榆木 910*125*15,179.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,0,5,0,0
博典 纯实木地板 白腊木原木色 平面木纹地板 JC703,249.00 ,9.55,9.56,9.54,9.56,博典,20.0kg,双锁口,18mm,实木地板,新浪家居建材旗舰店,16,200,0,1
博典 纯实木地板 番龙眼仿古浮雕原木实木木地板JPG8610 910*105*18MM,199.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,75,300,3,1
博典 纯实木地板 仿大理石纹理番龙眼木实木木地板 D691 100板,179.00 ,9.58,9.55,9.57,9.56,博典,25.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,7,300,0,0
博典 纯实木地板 仿古手抓纹柚木木地板 D8851 榆木 910*120*18,289.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,5,5,0,0
博典 纯实木地板 仿古原木木地板手抓纹 JPD榆木610小板,229.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,0,3,0,0
博典 纯实木地板 仿古原木橡木浮雕木地板18mm JPC613,359.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,8,5,0,0
博典 纯实木地板 非洲进口圆盘豆 实木木地板 9905,299.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,8,10,0,0
博典 纯实木地板 浮雕仿古地板 柚木原木深色木地板 JPD8853,259.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,1,4,0,0
博典 纯实木地板 浮雕仿古地板柚木原木深色木地板 D8853 柚木 610*120*18,259.00 ,9.58,9.55,9.57,9.56,博典,1.5kg,平口,18mm,实木地板,家居就建材家居旗舰店,0,10,0,0
博典 纯实木地板 美洲进口橡木仿古手抓纹实木木地板 C617 橡木,359.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,8,10,0,0
博典 纯实木地板 原木手抓纹橡木实木木地板 JPC601 910*125*18mm,349.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,15,40,1,1
博典 纯实木地板 圆盘豆绿柄桑木地板 高光亮面实木木地板 JP8801 910*123*18MM亮面板,239.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,19,10,0,1
博典 多层实木复合地板 防水耐磨复合木地板 地暖地板 B8009 12厚,139.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,12mm,实木复合地板,博典官方旗舰店,31,100,1,0
博典 非洲进口圆盘豆实木地板 实木木地板 9903,299.00 ,9.58,9.55,9.57,9.56,博典,25.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,0,0,0,0
博典 浮雕仿古拼花强化复合地板 防水耐磨木地板 JPD1013 普通款,89.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,12mm,强化复合地板,博典官方旗舰店,0,0,0,0
博典 浮雕强化复合地板 防水耐磨强化地板 手抓纹阳台复合木地板  JPD1011 D1011 防水升级款,89.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,12mm,强化复合地板,博典官方旗舰店,4,7,0,0
博典 复合地板 仿古浮雕木地板 防水耐磨对木纹强化地板  JD1015,85.00 ,9.55,9.56,9.54,9.56,博典,20.0kg,双锁口,12mm,强化复合地板,新浪家居建材旗舰店,3,7,1,0
博典 复合地板 仿古拼花手抓纹防水强化木地板 LS108,69.00 ,9.55,9.56,9.54,9.56,博典,20.0kg,双锁口,12mm,强化复合地板,新浪家居建材旗舰店,2,6,0,0
博典 复合地板 柚木多层地板 地热地暖木地板 JPG8609,179.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,15mm,实木复合地板,博典官方旗舰店,0,3,0,0
博典 金刚柚木纯实木地板 仿古浮雕原木地板 耐磨实木木地板 JPD8867,319.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,8,10,0,0
博典 品牌地板 金刚柚木 实木地板 欧美仿古小浮雕 JD8867 柚木 910*120*18,319.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,1,5,0,0
博典 强化地板 仿古强化复合地板 防水浅色宽板复合木地板 JDS8538 普通款,79.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,双锁口,12mm,强化复合地板,家居就建材家居旗舰店,2,8,0,0
博典 强化地板 家用复合木地板12mm拼花强化复合地板JPD8210,89.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,R型槽,12mm,强化复合地板,博典官方旗舰店,0,2,0,0
博典 强化地板拼花家用复合木地板 手抓纹防水12mm HA003 原木色,85.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,12mm,强化复合地板,家居就建材家居旗舰店,0,0,0,0
博典 强化复合地板 (防水宽板耐磨复合木地板JDS378-5 防水款,79.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,12mm,强化复合地板,家居就建材家居旗舰店,1,9,0,0
博典 强化复合地板 对木纹复合木地板 LS105,62.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,,强化复合地板,博典官方旗舰店,26,100,3,1
博典 强化复合木地板 防水耐磨 柚木纹地板 DS2258 810*149*12,79.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,12mm,强化复合地板,家居就建材家居旗舰店,0,9,0,0
博典 强化复合木地板 仿古拼花手抓纹防水12mmHA001,85.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,12mm,强化复合地板,家居就建材家居旗舰店,0,0,0,0
博典 实木地板  910*120*18 柚木 金刚柚木全实木地板浮雕地板 柚木 d8866 柚木 910*120*18,319.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,3,10,0,0
博典 实木地板 进口枫木地板 仿古手抓纹 JC609,229.00 ,9.55,9.56,9.54,9.56,博典,20.0kg,双锁口,18mm,实木地板,新浪家居建材旗舰店,0,7,0,0
博典 实木地板 进口小菠萝番龙眼原木木地板 JD6688,229.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,7,10,0,0
博典 实木复合地板 多层复合地板木地板 G8612,179.00 ,9.56,9.53,9.53,9.53,博典,25.0kg,平口,15mm,实木复合地板,博典官方旗舰店,0,6,0,0
博典 实木复合地板 橡木多层复合木地板 地热地板 JPGSB301,189.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,15mm,实木复合地板,博典官方旗舰店,0,10,0,0
博典 实木复合地板 榆木多层浮雕复合木地板 地热地板 JPGFD206,189.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,15mm,实木复合地板,博典官方旗舰店,3,4,0,0
博典 实木复合地板 榆木仿古浮雕复合木地板 JPGFD202,179.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,15mm,实木复合地板,博典官方旗舰店,0,1,0,0
博典 实木复合地板 榆木浮雕多层复合木地板 地热地板JPGFD209,189.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,15mm,实木复合地板,博典官方旗舰店,3,5,0,0
博典 实木复合木地板地热 榆木多层地暖地板浮雕 GFD210,189.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,4,2,0,0
博典 橡木三层实木复合地板 多层耐磨防划复合木地板 地暖地板 JGSB302,189.00 ,9.55,9.56,9.54,9.56,博典,20.0kg,双锁口,18mm,实木复合地板,新浪家居建材旗舰店,2,10,0,0
博典 橡木实木地板 仿古手抓纹实木木地板 C601  910*155*18mm,369.00 ,9.56,9.53,9.53,9.53,博典,25.0kg,平口,18mm,实木地板,博典官方旗舰店,4,1,0,1
博典 柚木纯实木地板 仿古原木木地板浮雕手抓纹 JPD8855,259.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,4,8,0,1
博典 柚木纯实木地板 平面木纹实木木地板 D8898,229.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,平口,18mm,实木地板,博典官方旗舰店,0,0,0,0
博典纯实木地板 番龙眼实木木地板JPD6688 910*100*18MM,179.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,18mm,实木地板,博典官方旗舰店,359,1000,3,3
博典纯唐木实木 仿古原木纹木地板 深压纹木地板 D7007 唐木 910*122*18,219.00 ,9.58,9.55,9.57,9.56,博典,1.5kg,平口,18mm,实木地板,家居就建材家居旗舰店,0,0,0,0
博典地板  进口番龙眼纯实木地板  仿古手抓纹原木木地板 G8602,229.00 ,9.55,9.56,9.54,9.56,博典,10.0kg,双锁口,18mm,实木地板,新浪家居建材旗舰店,47,200,1,2
博典地板 仿古浮雕木纹强化复合木地板防水12mmG2007 G2007,89.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,12mm,强化复合地板,家居就建材家居旗舰店,0,2,0,0
博典地板 花梨木 地热地暖实木多层复合木地板 G8616,179.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,12,90,1,1
博典地板 强化复合地板 耐磨强化木地板 LS102,69.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,双锁口,,强化复合地板,家居就建材家居旗舰店,12,100,1,2
博典地板 生态圆盘豆纯实木地板 8801   910*100*18MM,209.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,52,200,3,1
博典多层实木复合木地板 三层橡木地暖地板地热 GSB306 橡木,189.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,2,8,0,0
博典咖啡细语 红橡木纹 亮面 强化复合木地板 JDS9723 810*149*12,79.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,12mm,强化复合地板,家居就建材家居旗舰店,0,0,0,0
博典旅行者 防水白橡木纹强化复合木地板 白橡木纹 金刚亮面DS1603 810*149*12,79.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,普槽,12mm,强化复合地板,家居就建材家居旗舰店,3,6,0,0
博典强化复合地板 防水强化地板 仿古浮雕对木纹12mm防滑耐磨复合木地板JPD1015 防水升级款,99.00 ,9.56,9.53,9.53,9.53,博典,20.0kg,双锁口,12mm,强化复合地板,博典官方旗舰店,0,1,0,0
博典强化复合木地板 D1011(对木纹仿古浮雕橡木) D1011,85.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,12mm,强化复合地板,家居就建材家居旗舰店,15,30,0,1
博典三层实木复合地板15mm地热地暖大自然拼花地板多层木地板 D13-8,149.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,0,0,0,0
博典实木地板  910*125*18枫木手抓纹凹凸18mm C610,229.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,0,1,0,0
博典实木地板 立体浮雕金刚柚木 JD8855,259.00 ,9.55,9.56,9.54,9.56,博典,20.0kg,双锁口,18mm,实木地板,新浪家居建材旗舰店,17,80,2,0
博典实木复合地板 橡木多层木地板G8612(地热地暖15mm) G8612,179.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,13,50,1,0
博典实木复合地板榆木 地暖地板多层复合木地板15mm浮雕JGFD206,189.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,15mm,实木复合地板,家居就建材家居旗舰店,0,1,0,0
博典唐木纯实木地板 仿古浮雕 原木手抓纹木地板18mm C8616 唐木 910*122*18,219.00 ,9.58,9.55,9.57,9.56,博典,20.0kg,平口,18mm,实木地板,家居就建材家居旗舰店,0,1,0,0
财到 宝宝房适用 强化复合金钻面木地板 像苹果一样环保 中国橡木 806*128.5*12,138.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,1.2kg,R型槽,12mm,强化复合地板,财到家居官方旗舰店,0,0,0,0
财到 刺猬紫檀（花梨木）纯实木地板钢琴烤漆三拼艺术 平面九拼 1217*173*18,659.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,11.0kg,其他,18mm,实木地板,财到家居官方旗舰店,0,0,0,0
财到 仿古橡木 手工刨纯实木地板 厂家直销 长宽大板 高端享受 910*125*18,299.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,11.0kg,其他,18mm,实木地板,财到家居官方旗舰店,0,1,0,0
财到纯实木地板 免龙骨地板 纯手工雕刻手抓纹凹凸 面马踏飞燕 900*115*16,299.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,11.0kg,其他,15mm,实木地板,财到家居官方旗舰店,2,2,1,0
财到纯实木地板非洲柚木（纽墩豆）非洲进口原木 910*115*18,299.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,11.0kg,平口,18mm,实木地板,财到家居官方旗舰店,0,100,1,0
财到地板  强化地板青花钢瓷面含纳米银复合木地板  正宗环保E0级 非洲花梨（满25平起拍 纯杨木基材 1217*168.5*12,128.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,2.2kg,R型槽,12mm,强化复合地板,财到家居官方旗舰店,1,100,0,0
财到地板  榆木强化复合木地板 手工浮雕面 双色可选 12mm厚 EO级国标环保地板 巴洛克黄榆 1217*168.5*12,138.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,1.0kg,R型槽,12mm,强化复合地板,财到家居官方旗舰店,0,20,0,0
财到地板 500年树龄番龙眼地热 纯实木地板 免龙骨实木 厂家直销 番龙眼仿古本色,339.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,1.2kg,其他,18mm,实木地板,财到家居官方旗舰店,0,30,0,0
财到地板 凹凸手抓纹防水强化木地板 柯罗丽橡木/柯罗丽白橡 EO级国标环保地板 柯罗丽橡木 柯罗丽橡木 1217*168.5*12,118.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,2.1kg,R型槽,12mm,强化复合地板,财到家居官方旗舰店,0,0,0,0
财到地板 纯实木地板 100%进口原木铁苏木 材质如钢 钢琴烤漆面 铁苏木 910*110*18,487.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,11.0kg,平口,18mm,实木地板,财到家居官方旗舰店,4,60,0,0
财到地板 纯实木地板 原木色钢琴玉质板面  冰片香 910*123*18,339.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,1.5kg,其他,18mm,实木地板,财到家居官方旗舰店,3,200,0,1
财到地板 纯实木地板 正宗橡木 质量保障双色可选 橡木本色 910*95*18,259.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,11.0kg,其他,18mm,实木地板,财到家居官方旗舰店,5,80,1,0
财到地板 纯实木地板进口原木紫楠木 上等红木系列,339.00 ,9.38,9.5,9.43,9.47,财到（CAIDAO）,1.5kg,其他,18mm,实木地板,财到家居官方旗舰店,31,400,2,3
